Clock: 0, Future Event List: [(Departure, 0.11381718), (Arrival, 0.955372103), ], Number of Departures: 0, Queue Size: 0, Server Utilization: 0
Clock: 0.11381718, Future Event List: [(Arrival, 0.955372103), ], Number of Departures: 1, Queue Size: 0, Server Utilization: 1
Clock: 0.955372103, Future Event List: [(Departure, 1.114196402), (Arrival, 1.679619137), ], Number of Departures: 1, Queue Size: 0, Server Utilization: 1.285377266
Clock: 1.114196402, Future Event List: [(Arrival, 1.679619137), ], Number of Departures: 2, Queue Size: 0, Server Utilization: 1.102151811
Clock: 1.679619137, Future Event List: [(Departure, 2.035447253), (Arrival, 2.260510849), ], Number of Departures: 2, Queue Size: 0, Server Utilization: 1.942976692
Clock: 2.035447253, Future Event List: [(Arrival, 2.260510849), ], Number of Departures: 3, Queue Size: 0, Server Utilization: 1.603313881
Clock: 2.260510849, Future Event List: [(Arrival, 2.800768756), (Departure, 3.108269413), ], Number of Departures: 3, Queue Size: 0, Server Utilization: 2.818712527
Clock: 2.800768756, Future Event List: [(Departure, 3.108269413), (Arrival, 3.506209948), ], Number of Departures: 3, Queue Size: 1, Server Utilization: 2.274993333
Clock: 3.108269413, Future Event List: [(Arrival, 3.506209948), (Departure, 3.69105061), ], Number of Departures: 4, Queue Size: 0, Server Utilization: 2.049928562
Clock: 3.506209948, Future Event List: [(Arrival, 3.511238831), (Departure, 3.69105061), ], Number of Departures: 4, Queue Size: 1, Server Utilization: 1.817270027
Clock: 3.511238831, Future Event List: [(Departure, 3.69105061), (Arrival, 4.29375461), ], Number of Departures: 4, Queue Size: 2, Server Utilization: 1.814667288
Clock: 3.69105061, Future Event List: [(Departure, 4.277228275), (Arrival, 4.29375461), ], Number of Departures: 5, Queue Size: 1, Server Utilization: 1.726264666
Clock: 4.277228275, Future Event List: [(Arrival, 4.29375461), (Departure, 5.203066264), ], Number of Departures: 6, Queue Size: 0, Server Utilization: 1.489686741
Clock: 4.29375461, Future Event List: [(Departure, 5.203066264), (Arrival, 5.220614183), ], Number of Departures: 6, Queue Size: 1, Server Utilization: 1.48395305
Clock: 5.203066264, Future Event List: [(Arrival, 5.220614183), (Departure, 5.778144532), ], Number of Departures: 7, Queue Size: 0, Server Utilization: 1.224610629
Clock: 5.220614183, Future Event List: [(Arrival, 5.22890984), (Departure, 5.778144532), ], Number of Departures: 7, Queue Size: 1, Server Utilization: 1.220494376
Clock: 5.22890984, Future Event List: [(Departure, 5.778144532), (Arrival, 6.053538183), ], Number of Departures: 7, Queue Size: 2, Server Utilization: 1.218558063
Clock: 5.778144532, Future Event List: [(Departure, 5.788121927), (Arrival, 6.053538183), ], Number of Departures: 8, Queue Size: 1, Server Utilization: 1.102729468
Clock: 5.788121927, Future Event List: [(Arrival, 6.053538183), (Departure, 6.597499213), ], Number of Departures: 9, Queue Size: 0, Server Utilization: 1.100828616
Clock: 6.053538183, Future Event List: [(Departure, 6.597499213), (Arrival, 6.820874051), ], Number of Departures: 9, Queue Size: 1, Server Utilization: 1.05256299
Clock: 6.597499213, Future Event List: [(Arrival, 6.820874051), (Departure, 7.206307573), ], Number of Departures: 10, Queue Size: 0, Server Utilization: 0.965779615
Clock: 6.820874051, Future Event List: [(Departure, 7.206307573), (Arrival, 7.818010946), ], Number of Departures: 10, Queue Size: 1, Server Utilization: 0.934151577
Clock: 7.206307573, Future Event List: [(Departure, 7.686221253), (Arrival, 7.818010946), ], Number of Departures: 11, Queue Size: 0, Server Utilization: 0.88418794
Clock: 7.686221253, Future Event List: [(Arrival, 7.818010946), ], Number of Departures: 12, Queue Size: 0, Server Utilization: 0.828980853
Clock: 7.818010946, Future Event List: [(Arrival, 8.045664018), (Departure, 8.086451104), ], Number of Departures: 12, Queue Size: 0, Server Utilization: 1.849342685
Clock: 8.045664018, Future Event List: [(Departure, 8.086451104), (Arrival, 8.965206224), ], Number of Departures: 12, Queue Size: 1, Server Utilization: 1.797015302
Clock: 8.086451104, Future Event List: [(Departure, 8.344547488), (Arrival, 8.965206224), ], Number of Departures: 13, Queue Size: 0, Server Utilization: 1.787951373
Clock: 8.344547488, Future Event List: [(Arrival, 8.965206224), ], Number of Departures: 14, Queue Size: 0, Server Utilization: 1.732650137
Clock: 8.965206224, Future Event List: [(Departure, 9.44621576), (Arrival, 9.60720553), ], Number of Departures: 14, Queue Size: 0, Server Utilization: 2.666352175
